sampno,vehno,vehyear,make,make_o,model,model_o,body,body_o,fuel,fuel_o,transp,parkd,parkd_o
30007959,4,2001,53,-1,53404,-1,3,-1,1,-1,2,2,-1
30007959,5,2001,7,-1,7482,-1,4,-1,1,-1,2,2,-1
30007995,1,2016,63,-1,63037,-1,3,-1,1,-1,2,2,-1
30007995,2,2008,65,-1,65031,-1,1,-1,1,-1,2,2,-1
30007995,3,2008,76,-1,76703,-1,7,-1,1,-1,2,3,-1
30007995,4,2004,34,-1,34402,-1,3,-1,1,-1,2,2,-1
30007995,5,2003,48,-1,48401,-1,1,-1,1,-1,2,2,-1
30007995,6,2001,53,-1,53705,-1,7,-1,1,-1,2,3,-1
30007995,7,1981,73,-1,73705,-1,7,-1,1,-1,2,3,-1
30007997,1,1994,51,-1,51042,-1,1,-1,1,-1,2,3,-1
30008009,1,2015,48,-1,48046,-1,1,-1,1,-1,1,2,-1
30008009,2,1998,12,-1,12471,-1,4,-1,1,-1,1,2,-1
30008009,3,1994,37,-1,37739,-1,7,-1,1,-1,2,3,-1
30008009,4,1988,37,-1,37033,-1,1,-1,1,-1,1,2,-1
30008058,1,2007,18,-1,18023,-1,1,-1,1,-1,1,3,-1
30008058,2,2000,20,-1,20037,-1,1,-1,1,-1,1,3,-1
30008153,1,2016,48,-1,48038,-1,1,-1,1,-1,2,3,-1
30008153,2,2013,55,-1,55035,-1,1,-1,1,-1,1,2,-1
30008166,1,2017,20,-1,20025,-1,1,-1,1,-1,1,3,-1
30008166,2,2016,20,-1,20423,-1,3,-1,1,-1,1,3,-1
30008166,3,2011,20,-1,20481,-1,4,-1,1,-1,1,2,-1
30008173,1,2012,48,-1,48045,-1,1,-1,1,-1,1,3,-1
30008190,1,2016,37,-1,37402,-1,3,-1,1,-1,1,3,-1
30008190,2,2016,37,-1,37421,-1,3,-1,1,-1,1,3,-1
30008318,1,2007,49,-1,49040,-1,1,-1,1,-1,1,3,-1
30008318,2,2006,37,-1,37402,-1,3,-1,1,-1,1,3,-1
30008318,3,2002,49,-1,49040,-1,1,-1,1,-1,1,2,-1
30008346,1,2012,35,-1,35043,-1,1,-1,1,-1,1,3,-1
30008365,1,2016,12,-1,12037,-1,1,-1,1,-1,1,3,-1
30008365,2,2012,12,-1,12402,-1,3,-1,1,-1,1,3,-1
30008429,1,2005,35,-1,-8,-1,3,-1,1,-1,1,3,-1
30008618,1,2011,12,-1,12025,-1,3,-1,1,-1,1,3,-1
30008618,2,2004,49,-1,49047,-1,1,-1,1,-1,2,3,-1
30008673,1,2017,18,-1,18026,-1,1,-1,1,-1,1,3,-1
30008673,2,2014,2,-1,2403,-1,3,-1,1,-1,1,2,-1
30008673,3,2011,54,-1,54039,-1,1,-1,1,-1,2,2,-1
30008673,4,2007,2,-1,2403,-1,3,-1,1,-1,2,2,-1
30008769,1,2011,6,-1,6018,-1,1,-1,1,-1,1,3,-1
30008769,2,2006,6,-1,6051,-1,1,-1,1,-1,1,3,-1
30008847,1,2016,55,-1,55035,-1,1,-1,1,-1,2,2,-1
30008969,1,2012,55,-1,55035,-1,1,-1,1,-1,1,2,-1
30008971,1,2007,54,-1,54421,-1,3,-1,1,-1,1,3,-1
30008971,2,2001,37,-1,37032,-1,1,-1,1,-1,1,3,-1
30009012,1,2011,12,-1,12037,-1,1,-1,1,-1,2,2,-1
30009021,1,2011,7,-1,7026,-1,1,-1,1,-1,1,2,-1
30009087,1,2013,55,-1,55033,-1,1,-1,1,-1,1,3,-1
30009087,2,2002,20,-1,20431,-1,3,-1,1,-1,1,3,-1
30009138,1,2011,49,-1,49053,-1,3,-1,1,-1,1,3,-1
30009138,2,2006,55,-1,55035,-1,1,-1,1,-1,1,3,-1
30009179,1,2005,18,-1,18022,-1,1,-1,1,-1,2,3,-1
30009224,1,2011,7,-1,7026,-1,1,-1,1,-1,2,1,-1
30009224,2,2005,6,-1,7021,-1,1,-1,1,-1,2,2,-1
30009233,1,2017,-7,-1,-8,-1,3,-1,3,-1,1,3,-1
30009233,2,2008,-7,-1,99399,-1,1,-1,1,-1,1,3,-1
30009233,3,2010,99,-1,99997,98709,7,-1,1,-1,2,3,-1
30009239,1,2012,51,-1,-8,-1,1,-1,1,-1,1,1,-1
30009259,1,2017,58,-1,58403,-1,1,-1,1,-1,1,3,-1
30009259,2,2010,54,-1,54402,-1,1,-1,1,-1,1,1,-1
30009282,1,2002,59,-1,59031,-1,1,-1,1,-1,2,2,-1
30009282,2,2000,55,-1,55035,-1,1,-1,1,-1,1,2,-1
30009311,1,2017,58,-1,58044,-1,1,-1,1,-1,1,3,-1
